id,text,label
7101,"Mon trésor, mon trésor ! On va se faire bouffer les couilles !",1
6114,"Julian, ici toi père. Même si en ce moment, basé sur les faits...",0
438,"Depuis la prison, il est encore plus méfiant et farouche.",-1
1904,J'ai fait ma part. Je veux l'argent. Pas ce soir.,-1
2299,"Non. Eh bien, croyez-moi, je sais ce que je fais.",1
6725,Il cherche à nous diviser avec ses plans à la mords-moi le nœud.,-1
3146,Antía va mieux que jamais et elle est très heureuse.,1
2560,Je me souviens de chaque fille qui a fait ça.,1
4458,"écoutez, en 2 ans, j'ai changé 3 fois de chambre !",0
6237,Il a envoyé un message groupé à toutes les meufs de mon répertoire.,0
232,"Je ne peux pas le faire ! Pardonne-moi, Ryan !",-1
8997,"Il a trois de ses copains avec lui, et ils sont très costauds. Bravo !",1
9295,"Si c'est le cas, je te suggère de me le demander directement et sans accent. Salut.",0
7855,"Aucun d'entre-nous ne peut l'utiliser, parce que nous sommes déjà allés dans le passé.",-1
670,Je saute sur une table et je termine avec panache.,1
5370,"et une goutte de sperme... On avait trouvé ça, hein ?",-1
2866,La religion catholique se base sur une erreur de traduction.,-1
7378,"Oh ! pardon monsieur, ne quittez pas, un petit instant, je vous prie.",-1
6984,"Secundo, c'est un cadeau d'Ahmed et je veux pas qu'on y touche !",-1
4616,Une souris. Mon souhait à l’instant. ce serait le point culminant.,1
4641,"Il pria tandis que l'océan gelait, enchîssant l'amphibicoptère et la Fée...",-1
5206,Chaque soldat anglais aura une barre comme celle-ci dans son paquetage.,0
2980,Je m'appelle Leigh Anne Tuohy. Mes enfants sont à Wingate.,0
4289,"Quoi, Sonia ? C'est un avion de chasse, mon pote !",0
2733,"Bon, allez, continue sans moi, mon chaton, maman est occupée.",-1
6401,On va arrêter de se la couler douce à Paris. Heil Hitler !,1
3984,On va se poser à Acapulco et on prendra la correspondance.,0
1361,mais l'histoire est écrite par ceux qui pendent les héros.,0
4398,"Bruno, je veux juste voir quels livres Herr Liszt t'a donnés.",0
853,"Elle assure, cette voiture ! Elle est un peu capricieuse.",1
7307,Les organes sensoriels de R2 ne trouvent aucune trace de la princesse Leia.,-1
7790,Allez vous-en vite ! Faut que je fasse sauter la baraque avant de partir.,-1
5483,Vous n'étiez pas obligé de tirer si violemmentt cette manette !,-1
9579,C'est inter-Etat et ça s'étend à tout le pays. Réveille-toi ! Ca s'applique aussi à nos affaires !,1
6046,"Eh bien, tu ne le sauras jamais si tu restes toute ta vie",0
1828,Je me suis fait pincer ! Comme tout le monde.,-1
1639,"Avant la bataille physique, il y a la bataille psychologique.",0
4708,"Ma tête était mise à prix, il était tueur à gages.",-1
6827,C'est juste pour se montrer. Vous jouez ou alors ou je vous gifle.,-1
7764,"Oh god, it hurts ! Allez chercher des sels, de l'eau de mélisse !",-1
3123,Ils leur ont donné les attributs nécessaires à leur survie.,1
5187,"Je regrette ce qui s'est passé, mais la fête était formidable.",1
7435,Ils vous écorchent tout vif et se font un costume de votre peau.,-1
8330,J'en ai marre du phénomène ! Marre d'Evelyne. Marre de toute la famille !,-1
6550,"Le matin en montant en voiture, je regarde s'il est pas derrière moi.",0
570,Le moment précis où j'ai appris à rouler en vélo.,-1
5034,"-Tu mises sur le mauvais cheval, tu payes, c'est comme ça.",-1
5120,Tout simplement parce que vous a fait l'équipe l'année dernière ...,1
5163,Le contrat entre la fourrière et la mairie remis en question.,-1
3811,"Tu avais un tas de femmes, mais elle continuait de l'avant...",0
4234,"Tout ordre de tir non authentifié n'existe pas, vous le savez.",-1
4237,Je vous relève du commandement de ce bâtiment. Bouclez le Cdt.,0
4630,"L'agence m'y a fait faire mes essais, quand j'étais tout neuf.",0
802,"La sagacité, l'esprit déductif... Ils se sont foutus de vous.",-1
5449,Disney me l'a prêté. Avec la moitié des interprètes de Fantasia.,1
6585,Il traînait dans le bar et jouait de la guitare. On l'aimait bien.,1
9011,"Putain de merde. Si les gens veulent traînasser dans la baignoire, qu'ils restent chez eux.",-1
863,ça t'ennuie si j'enlève mes bottes ? Pas du tout.,-1
3272,je suis allée au cimetière 1 fois ou 2 fois.,0
1927,Je comptais rentrer préparer le colis que Lois devait emporter.,-1
3689,"ça me dit quelque chose. Ils ont tourné où, exactement ?",-1
1437,"Regardez, Michel. On a tout arrangé. Comme c'est charmant !",1
9058,"Tu sais, quoi ? Je vais le tuer ! Je vais le buter ce gosse !",-1
4851,Mais fais gaffe comment tu le dis. On pourrait mal interpréter.,-1
2511,Si nous transplantons 15% de leur cerveau dans le nôtre...,0
